SKU,Product,Product Abv.,Product Family,Price,Cost,U14 Adders,Ref Price,Spencer Price,Model Cost,Spencer Cost,CM Model,CM Spencer,Delta,ERROR,Unnamed: 15,CM Model.1,Current Batch Hrs,New Cycle Time,Price Net Size,U14INT,U18,TOFA1INT,D60,M35,EDA,H2PO4,HMDA,Polyetheramine,Piperazine,Azelaic Acid,Sebacic Acid,Dimer Acid,Target Cycle Time,Cycle Time to Make 1MT,$CM/Hr,Sales Vol
2000469,"UNI-REZ 2672, Bag 40 LB",U2672,INK,7979.638088855183,2524.620593,0.0,7979.638088855183,7979.638088855183,2524.620593,2524.620593,5455.017495855183,5455.017495855183,0.0,0.0,,5455.017495855183,31.08,30.47268,36.277,0.0,0.9,0.1,0.0,0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.8513600000000001,1.8513600000000001,2946.4920360465726,6.3
2000599,"UNI-REZ 2626, Box 1350 LB",U2626,INK,6768.1971709249065,2121.0428558,0.0,6768.1971709249065,6768.1971709249065,2121.0428558,2121.0428558,4647.154315124906,4647.154315124906,0.0,0.0,,4647.154315124906,31.08,30.16536,35.076,0.0,0.9,0.1,0.0,0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.8954400000000002,1.8954400000000002,2451.75490394046,16.1
2000657,"UNI-REZ 138, Bag 50 LB",U138B,INK,5420.526596589005,1333.023324263396,64.66,3579.025984703422,3750.87,1333.023324263396,1439.0,2181.3426604400265,2247.21,65.86733955997352,0.02931071842861749,,4022.843272325609,29.89,29.89,35.86802,0.0,0.8,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8366656425417407,1.8366656425417407,2190.297013863907,1251.1
2000356,"UNI-REZ 1533, Bag 50 LB",U1533,INK,6867.405068872467,2266.2982385261985,55.93,6964.64,6867.0,2266.2982385261985,2568.0,4642.411761473802,4243.07,-399.34176147380185,0.09411623222661937,,4545.176830346269,36.12,36.12,36.8736,0.0,0.9,0.0,0.0,0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,2.1589560010413953,2.1589560010413953,2105.266076823175,254.2
2000789,"UNI-REZ 2210, Bag 50 LB",U2210,INK,5658.00815696649,1512.0417935891483,73.93,5541.020024692515,5542.0,1512.0417935891483,1201.0,3955.048231103367,4267.07,312.0217688966327,0.07312318965862588,,4072.036363377342,35.35,35.35,36.099102,0.0,0.9,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1582642138854315,2.1582642138854315,1886.718195659014,33.0
2000355,"UNI-REZ 2224, BB 1500 LB",U2224F,INK,4711.05,1349.5584880741562,63.93,4711.05,4786.0,1349.5584880741562,1142.0,3297.561511925844,3580.07,282.50848807415605,0.07891144253440743,,3297.561511925844,30.39,30.39,36.4728,0.0,0.6,0.0,0.0,0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.836424952293216,1.836424952293216,1795.6418571899983,66.1
2000354,"UNI-REZ 2224, Bag 50 LB",U2224B,INK,4180.253333333333,1225.3104064443735,62.93,4372.712385714285,4285.0,1225.3104064443735,1142.0,3084.471979269912,3080.07,-4.4019792699118625,0.0014291815672734264,,2892.01292688896,30.39,30.39,36.4728,0.0,0.6,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.836424952293216,1.836424952293216,1574.8059419894018,678.0
2000365,"UNI-REZ 2928S, Bag 50 LB",U2928,INK,5950.799999999999,1819.2750001223196,68.93,5950.8,5853.0,1819.2750001223196,1523.0,4062.594999877681,4261.07,198.47500012231876,0.04657867627669078,,4062.59499987768,44.61,44.61,37.418687999999996,0.0,0.8,0.0,0.0,0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,2.627575825213327,2.627575825213327,1546.1380641785463,57.8
2000366,"UNI-REZ 110, Bag 50 LB",U110B,INK,4629.7112823859325,1589.604961270195,65.0,3896.9277518054646,3925.0,1589.604961270195,1230.0,2242.3227905352696,2630.0,387.67720946473037,0.1474057830664374,,2975.1063211157375,31.59,31.59,35.97542,0.0,0.8,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.935331401273425,1.935331401273425,1537.259365066961,635.4
2001944,"UNI-REZ 2209, Bag 50 LB",U2209,INK,5058.455499999999,1983.930974662801,66.0,5058.455499999999,4246.0,1983.930974662801,1142.0,3008.524525337198,3038.0,29.475474662801844,0.009702262890981516,,3008.524525337198,33.31,33.31,36.97704,0.0,0.9,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9854277140625642,1.9854277140625642,1515.3029767984765,16.0
