,descriptor,group,stat,p,m,table,score,metric
22,Line,K17,196.25779978826668,1.3693090746349904e-44,1148.6589217003402,"[[ 381 2230]
 [  90 2521]]",4.233333333333333,Rate
23,Product group,Construction,128.06871303016285,1.0842352605159828e-29,1148.6589217003402,"[[ 245 2366]
 [  54 2557]]",4.537037037037037,Rate
24,Line,K06,367.61751056910936,6.179315550716092e-82,1148.6589217003402,"[[ 573 2038]
 [ 106 2505]]",5.40566037735849,Rate
25,Line,E27,535.119770871343,2.173326187257798e-118,1148.6589217003402,"[[ 648 1963]
 [  71 2540]]",9.126760563380284,Rate
26,Product group,Cooling Tower,73.26685339250359,1.1325398122847145e-17,1148.6589217003402,"[[ 102 2509]
 [  11 2600]]",9.272727272727273,Rate
27,Product group,PSL,47.962525962260806,4.3444371593929416e-12,0.9718282093227844,"[[   2 2607]
 [  55 2554]]",-27.5,Yield
28,Line,E28,38.39384333829965,5.781450122696047e-10,0.9718282093227844,"[[  13 2596]
 [  70 2539]]",-5.384615384615384,Yield
29,Line,E26,71.94757988547417,2.2099063648966205e-17,0.9718282093227844,"[[  72 2537]
 [ 212 2397]]",-2.9444444444444446,Yield
30,Product group,Cards Core,122.30697433398848,1.9774767262839694e-28,0.9718282093227844,"[[ 186 2423]
 [ 448 2161]]",-2.4086021505376345,Yield
31,Line,K40,191.09706493628258,1.8317618148655966e-43,0.9718282093227844,"[[ 438 2171]
 [ 872 1737]]",-1.990867579908676,Yield
32,Line,K10,75.58622180388709,3.497938936584445e-18,0.9718282093227844,"[[ 239 2370]
 [ 453 2156]]",-1.8953974895397487,Yield
33,Product group,Dec. Surfaces/others,175.066699393435,5.789502723887856e-40,0.9718282093227844,"[[ 525 2084]
 [ 957 1652]]",-1.822857142857143,Yield
34,Shift,A,17.192794174136548,3.377149255811831e-05,0.9718282093227844,"[[ 845 1764]
 [ 989 1620]]",-1.1704142011834322,Yield
35,Shift,C,7.043684644644097,0.007954521939952882,0.9718282093227844,"[[ 865 1744]
 [ 775 1834]]",1.1161290322580646,Yield
36,Product group,Tape,10.669241997526372,0.0010893174769070124,0.9718282093227844,"[[ 273 2336]
 [ 204 2405]]",1.338235294117647,Yield
37,Line,K17,12.77989764012314,0.000350364100496222,0.9718282093227844,"[[ 273 2336]
 [ 198 2411]]",1.3787878787878791,Yield
38,Line,K06,24.38016327809937,7.90787894527041e-07,0.9718282093227844,"[[ 400 2209]
 [ 279 2330]]",1.4336917562724014,Yield
39,Product group,Cards Overlay,29.607941601200658,5.288780739142765e-08,0.9718282093227844,"[[ 232 2377]
 [ 131 2478]]",1.7709923664122138,Yield
40,Product group,Shrink Sleeve,287.90799814873816,1.4203330117628864e-64,0.9718282093227844,"[[1167 1442]
 [ 587 2022]]",1.9880749574105625,Yield
41,Line,E27,598.9653537604459,2.8108854213519662e-132,0.9718282093227844,"[[ 664 1945]
 [  54 2555]]",12.296296296296294,Yield
