U14INT,U18,TOFA1INT,D60,M35,EDA,H2PO4,HMDA,Polyetheramine,Piperazine,Azelaic Acid,Sebacic Acid,Dimer Acid,Sales Vol,Sales Vol,CM Rate ($/hr),Product Family,Product
0.0,0.7,0.0,0.0,0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,129.4,129.4,1423.9923924677798,INK,"UNI-REZ 2221, Bag 50 LB"
0.0,0.6,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,678.0,678.0,1574.8059419894018,INK,"UNI-REZ 2224, Bag 50 LB"
0.0,0.6,0.0,0.0,0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,66.1,66.1,1795.6418571899983,INK,"UNI-REZ 2224, BB 1500 LB"
0.0,0.8,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.3,261.3,1436.3817487004005,INK,"UNI-REZ 2226, Bag 50 LB"
0.0,0.8,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.8,217.8,960.2375934766744,INK,"UNI-REZ 2226, BB 1500 LB"
0.0,0.9,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.7,258.7,811.3201411968912,INK,"UNI-REZ 2228, Bag 50 LB"
0.0,0.9,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,169.0,697.5879311516302,INK,"UNI-REZ 2228, BB 1500 LB"
0.0,0.8,0.0,0.0,0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,57.8,57.8,1546.1380641785463,INK,"UNI-REZ 2928S, Bag 50 LB"
0.0,0.9,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.3,262.3,1094.7457607021977,INK,"UNI-REZ 2930, Bag 50 LB"
0.0,0.9,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,146.0,870.5319710392308,INK,"UNI-REZ 2930, BB 1500 LB"
0.0,0.8,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,656.9,656.9,1396.1219014734997,INK,"UNI-REZ 2940, Bag 50 LB"
0.0,0.9,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,951.9,951.9,1044.7251160699686,INK,"UNI-REZ 2223, Bag 50 LB"
0.0,0.6,0.0,0.0,0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,357.3,357.3,773.3361841285722,INK,"UNI-REZ 2239, Bag 50 LB"
0.0,0.9,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,84.0,1141.2527563820533,INK,"UNI-REZ 2248, Bag 50 LB"
0.0,0.8,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1251.1,1251.1,2190.297013863907,INK,"UNI-REZ 138, Bag 50 LB"
0.0,0.9,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,177.0,1152.5438594455131,INK,"UNI-REZ 106/1, Bag 50 LB"
0.0,0.8,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1070.9375209306083,INK,"UNI-REZ 2934, Bag 50 LB"
0.0,0.9,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,147.0,994.7842138281802,INK,"SIEGAMID 2000, Bag 50 LB"
0.0,0.9,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,33.0,1886.718195659014,INK,"UNI-REZ 2210, Bag 50 LB"
0.0,0.9,0.1,0.0,0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,98.6,98.6,949.4699140519764,INK,"UNI-REZ 119, Bag 50 LB"
0.0,0.9,0.1,0.0,0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,123.2,123.2,1004.1605875058085,INK,"UNI-REZ TP101, Bag 50 LB"
0.0,0.9,0.1,0.0,0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,6.3,6.3,2946.4920360465726,INK,"UNI-REZ 2672, Bag 40 LB"
0.0,0.9,0.1,0.0,0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,16.1,16.1,2451.75490394046,INK,"UNI-REZ 2626, Box 1350 LB"
0.0,0.9,0.1,0.0,0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,6.7,6.7,1046.1138167203312,INK,"UNI-REZ 147, Bag 50 LB"
